bucket,url,final_url,status,redirect_chain,title,canonical,canonical_self,robots_meta,is_noindex,og_url,og_url_matches_canonical,jsonld_blocks,has_product,has_breadcrumb,has_organization,has_itemlist,word_count,issues
sitemap,https://pzm.ae/product/prod-mo4quzyw-nxxqq1/,https://pzm.ae/product/prod-mo4quzyw-nxxqq1/,200,https://pzm.ae/product/prod-mo4quzyw-nxxqq1/ [200],Apple Pencil USB-C White | PZM Computers &amp; Phones,https://pzm.ae/product/prod-mo4quzyw-nxxqq1/,True,"index, follow",False,https://pzm.ae/product/prod-mo4quzyw-nxxqq1/,True,2,True,True,False,False,127,
sitemap,https://pzm.ae/product/prod-mo4qvjd7-6ydt7y/,https://pzm.ae/product/prod-mo4qvjd7-6ydt7y/,200,https://pzm.ae/product/prod-mo4qvjd7-6ydt7y/ [200],Dell Monitor 24&quot; 24 inch / 60Hz / FHD Black | PZM Computers &amp; Phones,https://pzm.ae/product/prod-mo4qvjd7-6ydt7y/,True,"index, follow",False,https://pzm.ae/product/prod-mo4qvjd7-6ydt7y/,True,2,True,True,False,False,174,
sitemap,https://pzm.ae/product/prod-mo4quyq5-alcmyl/,https://pzm.ae/product/prod-mo4quyq5-alcmyl/,200,https://pzm.ae/product/prod-mo4quyq5-alcmyl/ [200],Nokia Tab T20 32GB Blue | PZM Computers &amp; Phones,https://pzm.ae/product/prod-mo4quyq5-alcmyl/,True,"index, follow",False,https://pzm.ae/product/prod-mo4quyq5-alcmyl/,True,2,True,True,False,False,132,
sitemap,https://pzm.ae/product/prod-mo4quz43-0qdj92/,https://pzm.ae/product/prod-mo4quz43-0qdj92/,200,https://pzm.ae/product/prod-mo4quz43-0qdj92/ [200],AirPods 4 Active Noise Cancellation White | PZM Computers &amp; Phones,https://pzm.ae/product/prod-mo4quz43-0qdj92/,True,"index, follow",False,https://pzm.ae/product/prod-mo4quz43-0qdj92/,True,2,True,True,False,False,165,
sitemap,https://pzm.ae/product/prod-mo4qvi13-zp6a78/,https://pzm.ae/product/prod-mo4qvi13-zp6a78/,200,https://pzm.ae/product/prod-mo4qvi13-zp6a78/ [200],Samsung CF390 Curved 27&quot; 27 inch / 60Hz / FHD / VGA+HDMI Black | PZM Computers &amp; Phones,https://pzm.ae/product/prod-mo4qvi13-zp6a78/,True,"index, follow",False,https://pzm.ae/product/prod-mo4qvi13-zp6a78/,True,2,True,True,False,False,198,
sitemap,https://pzm.ae/product/prod-mnnz7dcf-h2lui0/,https://pzm.ae/product/prod-mnnz7dcf-h2lui0/,200,https://pzm.ae/product/prod-mnnz7dcf-h2lui0/ [200],Redmi Note 8 6GB / 128GB Good Condition | PZM Computers &amp; Phones,https://pzm.ae/product/prod-mnnz7dcf-h2lui0/,True,"index, follow",False,https://pzm.ae/product/prod-mnnz7dcf-h2lui0/,True,2,True,True,False,False,200,
sitemap,https://pzm.ae/product/prod-mo4qu7dq-207z49/,https://pzm.ae/product/prod-mo4qu7dq-207z49/,200,https://pzm.ae/product/prod-mo4qu7dq-207z49/ [200],Samsung Galaxy A06 4G 64GB / 4GB RAM White | PZM Computers &amp; Phones,https://pzm.ae/product/prod-mo4qu7dq-207z49/,True,"index, follow",False,https://pzm.ae/product/prod-mo4qu7dq-207z49/,True,2,True,True,False,False,169,
sitemap,https://pzm.ae/product/prod-mo4qu5ie-8pjqn6/,https://pzm.ae/product/prod-mo4qu5ie-8pjqn6/,200,https://pzm.ae/product/prod-mo4qu5ie-8pjqn6/ [200],Samsung Galaxy A07 4G 64GB / 4GB RAM Blue | PZM Computers &amp; Phones,https://pzm.ae/product/prod-mo4qu5ie-8pjqn6/,True,"index, follow",False,https://pzm.ae/product/prod-mo4qu5ie-8pjqn6/,True,2,True,True,False,False,169,
sitemap,https://pzm.ae/product/prod-mo4qu70a-3nkedx/,https://pzm.ae/product/prod-mo4qu70a-3nkedx/,200,https://pzm.ae/product/prod-mo4qu70a-3nkedx/ [200],Samsung Galaxy A06 4G 64GB / 4GB RAM Blue | PZM Computers &amp; Phones,https://pzm.ae/product/prod-mo4qu70a-3nkedx/,True,"index, follow",False,https://pzm.ae/product/prod-mo4qu70a-3nkedx/,True,2,True,True,False,False,169,
sitemap,https://pzm.ae/product/prod-mo4qu66z-v8pijq/,https://pzm.ae/product/prod-mo4qu66z-v8pijq/,200,https://pzm.ae/product/prod-mo4qu66z-v8pijq/ [200],Samsung Galaxy A07 4G 64GB / 4GB RAM White | PZM Computers &amp; Phones,https://pzm.ae/product/prod-mo4qu66z-v8pijq/,True,"index, follow",False,https://pzm.ae/product/prod-mo4qu66z-v8pijq/,True,2,True,True,False,False,169,
